index,porosity (-),permeability (mD)
719,0.44777,1832.1
720,0.4177,1649.4
721,0.4192,1621.8
722,0.40861,1628.8
723,0.3937,1356.9
724,0.40641,1527.6
725,0.41269,1666.1
726,0.37884,1384.4
727,0.48165,2229.3
728,0.4741,2197
729,0.46587,2123
730,0.47665,2218.8
731,0.46438,2136.9
732,0.47269,2199.6
733,0.44918,2053.1
734,0.43629,1911.4
735,0.44348,1988
736,0.39333,1537.6
737,0.38585,1523.1
738,0.38154,1483.3
739,0.3695,1401.7
740,0.35668,1260.2
741,0.37578,1414.8
742,0.43802,1711.9
743,0.44574,1841.7
744,0.49557,2128
745,0.47464,2051
746,0.47992,1912.9
747,0.4554,1752.1
748,0.47426,2066.5
749,0.46311,2010.9
750,0.44282,1786.4
751,0.42576,1666.3
752,0.43784,1892.7
753,0.42926,1668
754,0.41856,1535.3
755,0.41962,1617.3
756,0.48154,2274
757,0.47336,2219.6
758,0.49095,2430.2
759,0.48495,2223.5
760,0.46758,2093.2
761,0.46046,2236.7
762,0.44814,1779.7
763,0.43088,1591.4
764,0.43791,1681.5
765,0.41084,1486.6
766,0.41492,1673.3
767,0.38879,1343.5
768,0.39897,1721.7
769,0.38495,1455.6
770,0.36556,1072
771,0.4827,2484.7
772,0.49444,2585.1
773,0.47835,2487.1
774,0.46013,2241.3
775,0.44831,2034.2
776,0.45529,2282.5
777,0.43142,1906.6
778,0.41744,1873.4
779,0.43192,1987.8
780,0.40528,1769.1
781,0.39766,1722.9
782,0.38831,1752.6
783,0.47723,1999.4
784,0.48088,2069.5
785,0.4741,2041.7
786,0.46635,1921.8
787,0.45718,1995.6
788,0.46844,2038.8
789,0.44125,1809.7
790,0.49179,2365.5
791,0.37026,1282.6
792,0.38562,1155.8
793,0.36986,1289.1
794,0.51311,2651.7
795,0.50758,2579.6
796,0.50216,2509.8
797,0.494,2517.5
798,0.49533,2432.4
799,0.45264,1740.7
800,0.45169,1731.5
801,0.44145,1769.1
802,0.43357,1623.1
803,0.43336,1871.3
804,0.41479,1502.1
805,0.40666,1467.3
806,0.40358,1470.5
807,0.39644,1491.9
808,0.4318,1208.5
809,0.42222,1197.2
810,0.41215,1214.2
811,0.40602,1111.5
812,0.40387,1156.6
813,0.39589,1173.4
814,0.39363,1081.5
815,0.38526,996.95
816,0.3696,1007
817,0.37042,918.36
818,0.36839,994.12
819,0.35666,872.69
820,0.35357,871.88
821,0.33993,863.88
822,0.44979,1331.2
823,0.43716,1294.3
824,0.44186,1328.9
825,0.43863,1324.1
826,0.44196,1309.8
827,0.43782,1277.8
828,0.36539,1021
829,0.37023,1019.6
830,0.35583,985.9
831,0.35902,1021.1
832,0.35188,897.9
833,0.3434,960.68
834,0.34342,909.61
835,0.36191,946.27
836,0.36625,980.43
837,0.36108,939.12
838,0.36712,771.89
839,0.43174,925.95
840,0.40719,1058.6
841,0.40381,948.38
842,0.39915,1007.6
843,0.38182,899.5
844,0.41053,1075.3
845,0.3988,899.01
846,0.40248,901.1
847,0.40979,961.87
848,0.40421,919.92
849,0.40102,1082
850,0.38432,792.26
851,0.41634,1099.9
852,0.40386,1082.1
853,0.42212,1235.1
854,0.41823,1212.2
855,0.42138,1176.6
856,0.42526,1222
857,0.43142,1277.7
858,0.41837,1207.6
859,0.43188,1290.2
860,0.44324,1371.2
861,0.3828,827.58
862,0.43502,1247.9
863,0.38583,803.11
864,0.40061,884.4
865,0.31999,467.46
866,0.31683,567.24
867,0.33862,521.08
868,0.33068,534.9
869,0.33512,527.73
870,0.35113,926.64
871,0.34157,527.62
872,0.35436,566.03
873,0.34539,547.88
874,0.3638,670.38
875,0.36398,637.02
876,0.40809,891.24
877,0.35735,602.39
878,0.39912,774.31
879,0.41364,835.26
880,0.39571,850.89
881,0.38324,791.23
882,0.39349,828.74
883,0.3763,729.46
884,0.36717,683.25
885,0.35116,683.64
886,0.43698,996.66
887,0.42344,925.7
888,0.37211,682.29
889,0.4238,890.84
890,0.40726,897.8
891,0.41539,873.69
892,0.36526,612.19
893,0.32257,734.31
894,0.35764,795.17
895,0.34646,670.79
896,0.3725,871.55
897,0.37143,895.11
898,0.36956,920.57
899,0.37969,906.62
900,0.38794,963.75
901,0.39448,922.2
902,0.40938,1047
903,0.41182,1065.2
904,0.40881,1042.8
905,0.41285,1154.8
906,0.35666,712.3
907,0.41326,1093.1
908,0.44189,1261.3
909,0.42465,1292.2
910,0.40897,1226.8
911,0.40949,1270.1
912,0.38942,1149.7
913,0.39626,1130
914,0.39169,1156
915,0.39827,1153.1
916,0.36796,990.61
917,0.36006,716.9
918,0.41785,1111.3
919,0.41547,1073
920,0.41664,1390.2
921,0.43305,1382.8
922,0.434,900.22
923,0.44304,1483.2
924,0.45064,1384.2
925,0.47838,1628.3
926,0.46433,1569.8
927,0.39406,1008.5
928,0.40352,1126.9
929,0.45093,1083.3
930,0.40531,1257.1
931,0.41745,1237.8
932,0.42024,1259.3
933,0.42868,1694
934,0.43378,1310.1
935,0.43231,1198.3
936,0.4536,1410.3
937,0.46708,1496.5
938,0.4728,1587.6
939,0.47266,1564.2
940,0.44006,1010
941,0.47193,1494.3
942,0.44257,1003.9
943,0.39173,895.41
944,0.42924,987.17
945,0.38944,864.62
946,0.37814,845.03
947,0.37824,843.64
948,0.36531,821.05
949,0.42858,1174
950,0.42778,1148.4
951,0.42976,1166.2
952,0.41294,1098.3
953,0.42853,1245.2
954,0.41547,1059.9
955,0.36096,808.94
956,0.40711,1666.7
957,0.43914,1898.4
958,0.47864,2159
959,0.44924,2097.8
960,0.4661,2158.2
961,0.48087,2165.9
962,0.46693,1833.1
963,0.46999,1734.1
964,0.46219,1650.4
965,0.4648,1763.5
966,0.46967,1719.6
967,0.47793,1787.6
968,0.48548,1847.5
969,0.48571,1877.4
970,0.44655,2460.2
971,0.45333,2567.2
972,0.39001,1228.4
973,0.40667,1353.1
974,0.38902,1284
975,0.39521,1319.4
976,0.43076,1572
977,0.43023,1516
978,0.4238,1483.8
979,0.38103,1178.3
980,0.3684,1097.4
981,0.42932,1575.8
982,0.42004,1493.6
983,0.40707,1424.7
984,0.41485,1401.9
985,0.40759,1961
986,0.39098,1641.5
987,0.40009,1632.9
988,0.38016,1403.6
989,0.40795,1553.4
990,0.41728,1592.6
991,0.41508,1585.8
992,0.47476,2073.6
993,0.47036,1929.9
994,0.46412,1999.5
995,0.46092,1924.7
996,0.45398,1847.9
997,0.45279,1867.4
998,0.44579,1809.7
999,0.44435,1849.8
1000,0.44307,1792.2
