idx,PORO,PERM
171,0.42249375,1.36917
172,0.4380375,1.29549
173,0.42455,1.36097
174,0.41378125,1.9228
175,0.41166875,2.92648
176,0.41369375,1.45555
177,0.4139,1.10612
178,0.412525,2.64622
179,0.4060625,1.10853
180,0.3993125,1.0359
181,0.4165125,1.31301
182,0.39135625,0.96465
183,0.397125,0.699069
184,0.395325,0.552496
185,0.405175,0.855809
186,0.416725,1.29073
187,0.38165625,2.86606
188,0.39190625,1.20099
189,0.3914125,2.13873
190,0.3985625,2.23958
191,0.407225,1.85725
192,0.4179125,1.36047
193,0.39906875,1.07332
194,0.3977375,0.764529
195,0.44429375,2.53456
196,0.38155,0.472893
197,0.3750625,0.790628
198,0.3852,0.567922
199,0.4109625,1.60429
200,0.37543125,0.878035
201,0.41463125,1.17158
202,0.3761125,0.563351
203,0.37720625,1.61632
204,0.37744375,0.474018
205,0.39783125,1.34259
206,0.4575375,1.37619
207,0.42619375,3.07828
208,0.366175,0.85908
209,0.3683,1.04366
210,0.37196875,1.90082
211,0.36974375,0.927096
212,0.3683,0.434307
213,0.3608375,0.844939
214,0.37149375,0.598449
215,0.35739375,0.950007
216,0.415675,3.16843
217,0.34855,0.534824
218,0.38439375,1.11192
219,0.35693125,1.11929
220,0.366725,0.709107
221,0.4044375,0.662651
222,0.3494,0.461182
223,0.3443125,0.546542
224,0.36366875,1.07457
225,0.37020625,1.36155
226,0.36189375,0.966688
227,0.35698125,0.940576
228,0.428,3.49541
229,0.3705375,0.925972
230,0.4014875,2.16676
231,0.4442625,5.90913
232,0.44550625,1.76578
233,0.4463125,1.49167
234,0.43010625,1.36262
235,0.4125,1.46466
236,0.32585,1.52908
237,0.40413125,2.13031
238,0.40680625,1.22213
239,0.407175,3.72188
240,0.3998375,1.18035
241,0.4031375,0.564277
242,0.39605625,2.44688
243,0.4025375,1.09769
244,0.4049625,2.2662
245,0.40769375,1.61267
246,0.423025,1.86752
247,0.41775625,2.08446
248,0.4037625,1.11259
249,0.4019,1.16111
250,0.4544875,2.6741
251,0.38923125,0.808193
252,0.39028125,1.62285
253,0.3921625,0.87814
254,0.40975625,0.962124
255,0.40048125,0.934171
256,0.39696875,2.80414
257,0.41853125,1.73165
258,0.39570625,0.762893
259,0.3993125,0.631351
260,0.39198125,0.831629
261,0.44890625,1.36873
262,0.39746875,1.17159
263,0.387425,0.475216
264,0.38225625,2.18614
265,0.38108125,1.90732
266,0.38719375,0.627384
267,0.3844,0.477845
268,0.42435625,1.80926
269,0.3864,2.1835
270,0.38550625,1.68701
271,0.38424375,0.631161
272,0.383075,0.41142
273,0.444075,2.07678
274,0.3864,1.22972
275,0.44459375,4.55846
276,0.394375,2.25741
277,0.37865625,1.11185
278,0.403875,2.03448
279,0.42281875,1.92489
280,0.3791625,0.902251
281,0.33509375,2.51404
282,0.38405,1.58125
283,0.38151875,0.982337
284,0.38141875,1.73832
285,0.38629375,1.98179
286,0.44791875,4.07232
287,0.38428125,1.24547
288,0.45788125,2.77096
289,0.3855875,1.09829
290,0.431575,0.951665
291,0.3932125,2.34681
292,0.37528125,0.878231
293,0.3811375,0.449986
294,0.37204375,2.41501
295,0.36996875,0.921567
296,0.3884125,1.92462
297,0.38535,0.824932
298,0.384375,0.924545
299,0.4519625,2.19366
300,0.38468125,0.900662
301,0.5034,5.08792
302,0.5053875,5.15729
303,0.5030625,7.86866
304,0.50004375,5.49124
305,0.5090625,6.51162
306,0.50359375,2.5783
307,0.505725,3.00292
308,0.5156,6.88343
309,0.506125,2.87439
310,0.5068625,3.97068
311,0.49489375,3.82978
312,0.49568125,2.97679
313,0.4909375,7.65853
314,0.4961,5.86402
315,0.4974125,6.61061
316,0.4889875,3.04681
317,0.4948,4.23168
318,0.49521875,8.01724
319,0.50340625,8.02696
320,0.49085,7.868
321,0.49264375,2.51592
322,0.48205,2.86891
323,0.4930625,3.65398
324,0.48710625,4.40124
325,0.47761875,5.91645
326,0.35374375,2.37083
327,0.4861625,5.80728
328,0.4829875,4.46943
329,0.48125,1.75393
